Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";Connaissance;"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée";"Présence d'un contour valide"
2018;8740;2B;2B049;Calenzana;"2018-03-29 20:16:00";Indéterminé;;30;;30;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8746;2B;2B096;Corte;"2018-04-03 10:49:00";Indéterminé;;300;;300;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8756;34;34316;Usclas-du-Bosc;"2018-04-01 13:39:00";Population;3;469;469;;;;;;;;;;;4;3;3;Probable;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8759;34;34286;Saint-Privat;"2018-04-02 18:30:00";Population;3;6576;6576;;;;;;;;;;1;4;3;3;Probable;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8765;04;04143;Oraison;"2018-04-07 13:04:00";Indéterminé;;600;600;;;;;;;;;;;;;2;Probable;Forestier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8769;83;83050;Draguignan;"2018-04-06 11:02:00";Population;3;40;40;;;;;;;;;;;3;2;5;Probable;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8771;06;06066;Gilette;"2018-04-07 18:21:00";Population;3;1300;;1300;;;;;;;;;;3;3;1;Probable;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8776;06;06041;Cipières;"2018-04-07 20:22:00";Population;3;200;200;;;;;;;;;;;4;3;3;Certaine;"Service de police et de gendarmerie";"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8786;83;83148;Vidauban;"2018-04-08 14:30:00";Population;3;150;150;;;;;;;;;;;4;3;5;Certaine;"Service de police et de gendarmerie";Malveillance;Non;Non;;;;;;;;;Non
2018;8795;13;13051;Lançon-Provence;"2018-04-05 14:49:00";Population;3;25000;;15000;;;;;;;10000;;1;2;2;1;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8798;13;13073;Peypin;"2018-04-07 13:00:00";Population;3;30;30;;;;;;;;;;;1;1;1;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8799;13;13040;Fuveau;"2018-04-07 17:00:00";Population;3;6;;6;;;;;;;;;;1;1;1;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;;;;;;Non
2018;8800;13;13114;Ventabren;"2018-04-08 18:00:00";Population;3;4000;4000;;;;;;;;;;1;1;2;1;Certaine;Sapeur-pompier;Accidentelle;Non;Non;;;;;;;;;Non
2018;8802;34;34286;Saint-Privat;"2018-04-07 16:51:00";Autre;3;14659;;14659;;;;;;;;;1;1;3;3;Probable;Forestier;Malveillance;Oui;Non;;;;;;;;;Non
2018;8803;48;48148;Saint-Étienne-Vallée-Française;"2018-03-14 18:58:00";Population;3;1100;1100;;;;;;;;;;;1;3;5;Certaine;Coordinateur;Accidentelle;Non;Non;;;;;;;;;Non
2018;8804;48;48092;Marvejols;"2018-03-25 13:44:00";Population;3;900;;900;;;;;;;;;;3;3;1;Probable;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8805;48;48053;Cubières;"2018-04-01 12:50:00";Population;3;10000;;10000;;;;;;;;;1;4;3;1;Inconnue;;;Non;Non;;;;;;;;;Non
2018;8806;48;48151;Saint-Frézal-d'Albuges;"2018-04-01 19:33:00";Population;3;8000;;8000;;;;;;;;;1;4;3;1;Inconnue;;;Non;Non;;;;;;;;;Non
2018;8808;48;48154;Saint-Georges-de-Lévéjac;"2018-04-07 17:35:00";Population;3;3600;3600;;;;;;;;;;;3;3;4;Certaine;Coordinateur;Accidentelle;Non;Non;;;;;;;;;Non
2018;8809;48;48148;Saint-Étienne-Vallée-Française;"2018-04-07 18:58:00";Population;3;2500;2500;0;;;;;;;;;1;4;3;5;Certaine;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8813;04;04081;Esparron-de-Verdon;"2018-04-06 08:56:00";Indéterminé;;34;34;;;;;;;;;;;;;3;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8819;84;84096;Rasteau;"2018-03-20 12:40:00";Indéterminé;;300;;;;;;;;;;;;;;;;;;Non;Non;;;;;;;;;Non
2018;8831;2B;2B124;Ghisoni;"2018-04-16 16:41:00";Indéterminé;;20;;20;;;;;;;;;;;;1;;;;Non;Non;;;;;;;;;Non
2018;8832;06;06074;Lantosque;"2018-04-16 16:37:00";Population;3;50200;40200;10000;;;;;;;;;1;4;1;5;Inconnue;;;Non;Non;;;;;;;;;Non
2018;8840;83;83037;"Celle (La)";"2018-04-18 14:10:00";Population;3;2000;2000;;;;;;;;;;1;4;3;4;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8843;04;04173;Saint-André-les-Alpes;"2018-04-07 13:31:00";Indéterminé;;340;;;;;;;;;340;;;;;1;Probable;Forestier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8844;48;48146;Sainte-Enimie;"2018-04-17 11:45:00";Population;3;8000;;8000;;;;;;;;;1;3;3;1;Certaine;Sapeur-pompier;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8846;48;48099;"Bourgs sur Colagne";"2018-04-20 17:33:00";Population;3;8000;8000;;;;;;;;;;1;4;3;3;Certaine;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8847;48;48066;Fraissinet-de-Lozère;"2018-04-21 15:45:00";Population;3;10100;;10100;;;;;;;;;1;3;3;1;Certaine;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;8850;83;83077;Méounes-lès-Montrieux;"2018-04-21 11:21:00";"Pompiers pré-positionnés";3;3000;3000;;;;;;;;;;1;3;3;5;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8853;06;06074;Lantosque;"2018-04-19 19:44:00";Population;3;173400;41000;132400;;;;;;;0;;1;4;3;1;Probable;"Service de police et de gendarmerie";Malveillance;Non;Non;;;;;;;;;Non
